imdb_movie_Id,Rating,Director,Actor_list
107315,6.5,Pedro Almodóvar,Peter Coyote
106408,6.4,Gurinder Chadha,Kim Vithana
110363,6.1,Andrew Scheinman,Luke Edwards
107225,6.9,Lina Wertmüller,Paolo Villaggio
111252,6.3,David O. Russell,Jeremy Davies
110366,6.3,Penelope Spheeris,Travis Tedford
109120,5.7,George Miller,Tina Majorino
108059,6.7,Ricky Tognazzi,Carlo Cecchi
110892,6,Michael Austin,Phoebe Cates
112651,7.8,Rob EpsteinJeffrey Friedman,Lily Tomlin
109382,7.3,Nanni Moretti,Nanni Moretti
112572,6.1,Betty Thomas,Shelley Long
99785,7.6,Chris Columbus,Macaulay Culkin
99653,7.1,Jerry Zucker,Patrick Swayze
103639,8,Ron ClementsJohn Musker,Scott Weinger
103064,8.5,James Cameron,Arnold Schwarzenegger
99348,8,Kevin Costner,Kevin Costner
96895,7.5,Tim Burton,Michael Keaton
102926,8.6,Jonathan Demme,Jodie Foster
29583,7.6,William Cottrell(sequence director)David Hand(supervising director)Wilfred Jackson(sequence director),Adriana Caselotti
101414,8,Gary TrousdaleKirk Wise,Paige O'Hara
32910,7.4,Norman Ferguson(sequence director)T. Hee(sequence director)Wilfred Jackson(sequence director),Dickie Jones
100405,7.1,Garry Marshall,Richard Gere
65214,7.9,Sam Peckinpah,William Holden
110395,6,C.M. Talkington,Gil Bellows
109934,7.4,Jean Bach,Dizzy Gillespie
117247,6.5,Michael Hoffman,Michelle Pfeiffer
112625,5.3,Bill Condon,Tony Todd
116282,8.1,Joel CoenEthan Coen(uncredited),William H. Macy
116552,6,David R. Ellis,Michael J. Fox
82509,6.7,Gerald PottertonJohn Bruno(segment Soft Landing)John Halas(segment So Beautiful and So Dangerous),Richard Romanus
116514,5.1,Kevin Yagher,Bruce Ramsay
117283,5,Matt Reeves,David Schwimmer
116684,6.8,Franco Zeffirelli,William Hurt
70506,7.5,Franco Brusati,Nino Manfredi
65421,7.1,Wolfgang Reitherman,Phil Harris
113083,7,Pedro Almodóvar,Marisa Paredes
118001,5.4,Fernando Trueba,Antonio Banderas
116165,2.7,Bill Couturié,Matt LeBlanc
117891,5.7,Martin Lawrence,Martin Lawrence
113613,6.8,Stacy Title,Cameron Diaz
117381,7.7,Gregory Hoblit,Richard Gere
115509,5.6,Larry LekerPaul Sabella,Charlie Sheen
114671,7.6,Ken Loach,Ian Hart
112844,6.7,Hal Salwen,Tim Daly
114658,2.4,Jonathan R. Betuel,Whoopi Goldberg
116275,7,Richard Pearce,Robert Duvall
113122,4.9,Todd Verow,Michael Gunther
117608,5.8,Jonathan Lynn,Steve Martin
113448,6.7,Tim Sullivan,Richard E. Grant
116414,5.2,Spike Lee,Theresa Randle
116095,5.5,Jeremiah S. Chechik,Sharon Stone
113947,7.3,Claude Sautet,Emmanuelle Béart
115956,6.6,Edward Zwick,Denzel Washington
117060,7.1,Brian De Palma,Tom Cruise
109028,7,Friðrik Þór Friðriksson,Masatoshi Nagase
117071,6.5,Pen Densham,Robin Wright
116136,6.5,Rob Cohen,Dennis Quaid
116168,5.2,Steve Rash,Whoopi Goldberg
116683,6.7,Henry Selick,Paul Terry
116287,6.2,James Foley,Mark Wahlberg
116768,6.9,Kelly Makin,Dave Foley
114787,8.1,Emir Kusturica,Predrag 'Miki' Manojlovic
112536,4.8,Alan MehrezPhilip Tan(uncredited),Daniel Bernhardt
48473,8.5,Satyajit Ray,Kanu Bannerjee
52572,8.5,Satyajit Ray,Soumitra Chatterjee
117128,7.3,Jim Mallon,Trace Beaulieu
117705,6.5,Joe Pytka,Michael Jordan
62711,5.9,Roger Vadim,Jane Fonda
108181,7.6,George Hickenlooper,Billy Bob Thornton
114307,6.3,Peter Yates,Albert Finney
